date,pool_id,day,shrimp_survival_proportion,shrimp_population,shrimp_grown,shrimp_biomass,food_amount,food_type,feeder_type
03/10/19,4,103,62.30 %,"585,620",25.65,"15,021.15",250.00,OPL 35 % # 5,AA/platos
04/10/19,4,104,62.20 %,"584,680",25.86,"15,119.82",225.00,OPL 35 % # 5,AA/platos
05/10/19,4,105,62.10 %,"583,740",26.07,"15,218.10",225.00,OPL 35 % # 5,AA/platos
06/10/19,4,106,62.05 %,"583,270",26.28,"15,328.34",0.00,OPL 35 % # 5,AA/platos
07/10/19,4,107,62.00 %,"582,800",26.50,"15,444.20",250.00,OPL 35 % # 5,AA/platos
08/10/19,4,108,61.95 %,"582,330",26.75,"15,577.33",250.00,OPL 35 % # 5,AA/platos
09/10/19,4,109,61.90 %,"581,860",27.00,"15,710.22",175.00,OPL 35 % # 5,AA/platos
10/10/19,4,110,61.85 %,"581,390",27.25,"15,842.88",175.00,OPL 35 % # 5,AA/platos
11/10/19,4,111,61.80 %,"580,920",27.44,"15,940.44",175.00,OPL 35 % # 5,AA/platos
12/10/19,4,112,61.75 %,"580,450",27.63,"16,037.83",175.00,OPL 35 % # 5,AA/platos
13/10/19,4,113,61.70 %,"579,980",27.81,"16,129.24",0.00,OPL 35 % # 5,AA/platos
14/10/19,4,114,61.70 %,"579,980",28.00,"16,239.44",0.00,OPL 35 % # 5,AA/platos
28/07/19,5,-1,100.00 %,"671,700",0.38,0.00,0.00,NA,NA
29/07/19,5,1,98.00 %,"658,266",0.45,296.22,30.00,NW 38 % # 3,Boleo
30/07/19,5,2,97.75 %,"656,587",0.55,361.12,40.00,NW 38 % # 3,Boleo
31/07/19,5,3,97.50 %,"654,908",0.65,425.69,50.00,NW 38 % # 3,Boleo
01/08/19,5,4,97.25 %,"653,228",0.75,489.92,65.00,NW 38 % # 3,Boleo
02/08/19,5,5,97.00 %,"651,549",0.80,521.24,70.00,NW 38 % # 3,Boleo
03/08/19,5,6,96.75 %,"649,870",0.90,584.88,75.00,NW 38 % # 3,Boleo
04/08/19,5,7,96.50 %,"648,191",1.00,648.19,80.00,NW 38 % # 3,Boleo
05/08/19,5,8,96.25 %,"646,511",1.10,711.16,100.00,NW 38 % # 3,Boleo/Platos
06/08/19,5,9,96.00 %,"644,832",1.35,870.52,110.00,NW 35 % # 4,Boleo/Platos
07/08/19,5,10,95.75 %,"643,153",1.65,"1,061.20",110.00,NW 35 % # 4,Boleo/Platos
08/08/19,5,11,95.50 %,"641,474",1.95,"1,250.87",110.00,NW 35 % # 4,Boleo/Platos
09/08/19,5,12,95.25 %,"639,794",2.05,"1,311.58",115.00,NW 35 % # 4,Boleo/Platos
10/08/19,5,13,95.00 %,"638,115",2.15,"1,371.95",115.00,NW 35 % # 4,Boleo/Platos
11/08/19,5,14,94.50 %,"634,757",2.25,"1,428.20",0.00,NW 35 % # 4,Boleo/Platos
12/08/19,5,15,93.00 %,"624,681",2.38,"1,486.74",115.00,OPL 35 % # 5,AA/platos
13/08/19,5,16,91.50 %,"614,606",2.60,"1,597.97",140.00,OPL 35 % # 5,AA/platos
14/08/19,5,17,90.00 %,"604,530",2.88,"1,741.05",140.00,OPL 35 % # 5,AA/platos
15/08/19,5,18,88.50 %,"594,455",3.05,"1,813.09",150.00,OPL 35 % # 5,AA/platos
16/08/19,5,19,87.00 %,"584,379",3.23,"1,887.54",150.00,OPL 35 % # 5,AA/platos
17/08/19,5,20,85.50 %,"574,304",3.40,"1,952.63",150.00,OPL 35 % # 5,AA/platos
18/08/19,5,21,84.00 %,"564,228",3.58,"2,019.94",150.00,OPL 35 % # 5,AA/platos
19/08/19,5,22,91.50 %,"614,606",3.78,"2,323.21",150.00,OPL 35 % # 5,AA/platos
20/08/19,5,23,90.84 %,"610,172",4.03,"2,458.99",175.00,OPL 35 % # 5,AA/platos
21/08/19,5,24,90.18 %,"605,739",4.36,"2,641.02",175.00,OPL 35 % # 5,AA/platos
22/08/19,5,25,89.52 %,"601,306",4.70,"2,826.14",175.00,OPL 35 % # 5,AA/platos
23/08/19,5,26,88.86 %,"596,873",4.85,"2,894.83",175.00,OPL 35 % # 5,AA/platos
24/08/19,5,27,88.20 %,"592,439",5.00,"2,962.20",175.00,OPL 35 % # 5,AA/platos
25/08/19,5,28,88.00 %,"591,096",5.18,"3,061.88",0.00,OPL 35 % # 5,AA/platos
26/08/19,5,29,87.88 %,"590,290",5.35,"3,158.05",175.00,OPL 35 % # 5,AA/platos
27/08/19,5,30,87.18 %,"585,588",5.61,"3,285.15",200.00,OPL 35 % # 5,AA/platos
28/08/19,5,31,86.48 %,"580,886",5.87,"3,409.80",200.00,OPL 35 % # 5,AA/platos
29/08/19,5,32,85.88 %,"576,856",6.13,"3,536.13",200.00,OPL 35 % # 5,AA/platos
30/08/19,5,33,85.58 %,"574,841",6.38,"3,667.48",200.00,OPL 35 % # 5,AA/platos
31/08/19,5,34,85.38 %,"573,497",6.64,"3,808.02",200.00,OPL 35 % # 5,AA/platos
01/09/19,5,35,85.00 %,"570,945",6.90,"3,939.52",0.00,OPL 35 % # 5,AA/platos
02/09/19,5,36,84.92 %,"570,408",7.15,"4,078.41",225.00,OPL 35 % # 5,AA/platos
03/09/19,5,37,84.42 %,"567,049",7.54,"4,275.55",225.00,OPL 35 % # 5,AA/platos
04/09/19,5,38,84.00 %,"564,228",7.94,"4,479.97",225.00,OPL 35 % # 5,AA/platos
05/09/19,5,39,83.85 %,"563,220",8.34,"4,697.26",225.00,OPL 35 % # 5,AA/platos
06/09/19,5,40,83.70 %,"562,213",8.48,"4,767.57",125.00,OPL 35 % # 5,AA/platos
07/09/19,5,41,83.55 %,"561,205",8.62,"4,837.59",150.00,OPL 35 % # 5,AA/platos
08/09/19,5,42,83.45 %,"560,534",8.76,"4,910.27",0.00,OPL 35 % # 5,AA/platos
09/09/19,5,43,83.44 %,"560,466",8.90,"4,988.15",175.00,OPL 35 % # 5,AA/platos
10/09/19,5,44,83.43 %,"560,399",9.13,"5,116.45",225.00,OPL 35 % # 5,AA/platos
11/09/19,5,45,83.42 %,"560,332",9.37,"5,250.31",0.00,OPL 35 % # 5,AA/platos
12/09/19,5,46,83.41 %,"560,265",9.60,"5,378.54",150.00,OPL 35 % # 5,AA/platos
13/09/19,5,47,83.40 %,"560,198",9.93,"5,562.76",175.00,OPL 35 % # 5,AA/platos
14/09/19,5,48,83.39 %,"560,131",10.25,"5,741.34",175.00,OPL 35 % # 5,AA/platos
15/09/19,5,49,82.89 %,"556,772",10.58,"5,890.65",0.00,OPL 35 % # 5,AA/platos
16/09/19,5,50,82.64 %,"555,093",10.90,"6,050.51",175.00,OPL 35 % # 5,AA/platos
17/09/19,5,51,82.39 %,"553,414",11.23,"6,214.84",175.00,OPL 35 % # 5,AA/platos
18/09/19,5,52,82.00 %,"550,794",11.56,"6,367.18",200.00,OPL 35 % # 5,AA/platos
19/09/19,5,53,81.72 %,"548,880",11.90,"6,531.67",200.00,OPL 35 % # 5,AA/platos
20/09/19,5,54,81.43 %,"546,965",12.30,"6,727.67",200.00,OPL 35 % # 5,AA/platos
21/09/19,5,55,81.15 %,"545,051",12.65,"6,894.89",200.00,OPL 35 % # 5,AA/platos
22/09/19,5,56,80.86 %,"543,137",13.00,"7,060.78",0.00,OPL 35 % # 5,AA/platos
23/09/19,5,57,80.58 %,"541,222",13.40,"7,252.38",200.00,OPL 35 % # 5,AA/platos
24/09/19,5,58,80.29 %,"539,308",13.60,"7,334.59",225.00,OPL 35 % # 5,AA/platos
25/09/19,5,59,80.01 %,"537,394",13.80,"7,416.03",250.00,OPL 35 % # 5,AA/platos
26/09/19,5,60,79.72 %,"535,479",14.00,"7,496.71",250.00,OPL 35 % # 5,AA/platos
27/09/19,5,61,79.44 %,"533,565",14.30,"7,629.98",225.00,OPL 35 % # 5,AA/platos
28/09/19,5,62,79.15 %,"531,651",14.60,"7,762.10",225.00,OPL 35 % # 5,AA/platos
29/09/19,5,63,78.87 %,"529,736",14.90,"7,893.07",0.00,OPL 35 % # 5,AA/platos
30/09/19,5,64,78.58 %,"527,822",15.20,"8,022.89",225.00,OPL 35 % # 5,AA/platos
01/10/19,5,65,78.30 %,"525,908",15.30,"8,046.38",250.00,OPL 35 % # 5,AA/platos
02/10/19,5,66,78.00 %,"523,926",15.40,"8,068.46",275.00,OPL 35 % # 5,AA/platos
03/10/19,5,67,77.57 %,"521,038",15.55,"8,102.14",275.00,OPL 35 % # 5,AA/platos
04/10/19,5,68,77.14 %,"518,149",15.91,"8,243.76",275.00,OPL 35 % # 5,AA/platos
05/10/19,5,69,76.71 %,"515,261",16.28,"8,388.45",250.00,OPL 35 % # 5,AA/platos
06/10/19,5,70,76.28 %,"512,373",16.64,"8,525.88",0.00,OPL 35 % # 5,AA/platos
07/10/19,5,71,75.85 %,"509,484",17.00,"8,661.24",250.00,OPL 35 % # 5,AA/platos
08/10/19,5,72,75.42 %,"506,596",17.33,"8,779.31",275.00,OPL 35 % # 5,AA/platos
09/10/19,5,73,74.99 %,"503,708",17.66,"8,895.48",275.00,OPL 35 % # 5,AA/platos
10/10/19,5,74,74.56 %,"500,820",18.00,"9,014.75",225.00,OPL 35 % # 5,AA/platos
11/10/19,5,75,74.13 %,"497,931",18.25,"9,087.24",225.00,OPL 35 % # 5,AA/platos
12/10/19,5,76,73.70 %,"495,043",18.50,"9,158.29",225.00,OPL 35 % # 5,AA/platos
13/10/19,5,77,73.27 %,"492,155",18.75,"9,227.90",0.00,OPL 35 % # 5,AA/platos
14/10/19,5,78,72.84 %,"489,266",19.00,"9,296.06",250.00,OPL 35 % # 5,AA/platos
15/10/19,5,79,72.41 %,"486,378",19.33,"9,401.69",250.00,OPL 35 % # 5,AA/platos
16/10/19,5,80,72.00 %,"483,624",19.66,"9,508.05",275.00,OPL 35 % # 5,AA/platos
17/10/19,5,81,71.00 %,"476,907",20.00,"9,538.14",275.00,OPL 35 % # 5,AA/platos
18/10/19,5,82,70.00 %,"470,190",20.50,"9,638.90",275.00,OPL 35 % # 5,AA/platos
19/10/19,5,83,69.00 %,"463,473",21.00,"9,732.93",275.00,OPL 35 % # 5,AA/platos
20/10/19,5,84,68.00 %,"456,756",21.50,"9,820.25",0.00,OPL 35 % # 5,AA/platos
21/10/19,5,85,67.00 %,"450,039",22.00,"9,900.86",275.00,OPL 35 % # 5,AA/platos
22/10/19,5,86,66.00 %,"443,322",22.25,"9,863.91",275.00,OPL 35 % # 5,AA/platos
23/10/19,5,87,65.00 %,"436,605",22.50,"9,823.61",275.00,OPL 35 % # 5,AA/platos
24/10/19,5,88,64.30 %,"431,903",22.70,"9,804.20",,OPL 35 % # 5,AA/platos
28/07/19,6,-1,100.00 %,"698,700",0.34,237.56,0.00,NA,NA
29/07/19,6,1,98.00 %,"684,726",0.40,273.89,30.00,NW 38 % # 3,Boleo
30/07/19,6,2,97.75 %,"682,979",0.46,314.17,40.00,NW 38 % # 3,Boleo
31/07/19,6,3,97.50 %,"681,233",0.55,374.68,50.00,NW 38 % # 3,Boleo
01/08/19,6,4,97.25 %,"679,486",0.62,421.28,70.00,NW 38 % # 3,Boleo
02/08/19,6,5,97.00 %,"677,739",0.75,508.30,70.00,NW 38 % # 3,Boleo
03/08/19,6,6,96.75 %,"675,992",0.90,608.39,75.00,NW 38 % # 3,Boleo
04/08/19,6,7,96.50 %,"674,246",1.05,707.96,100.00,NW 38 % # 3,Boleo
05/08/19,6,8,96.25 %,"672,499",1.20,807.00,110.00,NW 38 % # 3,Boleo/Platos
06/08/19,6,9,96.00 %,"670,752",1.40,939.05,120.00,NW 35 % # 4,Boleo/Platos
07/08/19,6,10,95.75 %,"669,005",1.60,"1,070.41",120.00,NW 35 % # 4,Boleo/Platos
08/08/19,6,11,95.50 %,"667,259",1.80,"1,201.07",125.00,NW 35 % # 4,Boleo/Platos
09/08/19,6,12,95.25 %,"665,512",1.95,"1,297.75",125.00,NW 35 % # 4,Boleo/Platos
10/08/19,6,13,95.00 %,"663,765",2.10,"1,393.91",125.00,NW 35 % # 4,Boleo/Platos
11/08/19,6,14,94.50 %,"660,272",2.23,"1,472.41",0.00,NW 35 % # 4,Boleo/Platos
12/08/19,6,15,94.00 %,"656,778",2.39,"1,569.70",125.00,OPL 35 % # 5,AA/platos
13/08/19,6,16,93.50 %,"653,285",2.58,"1,685.47",140.00,OPL 35 % # 5,AA/platos
14/08/19,6,17,93.00 %,"649,791",2.78,"1,806.42",140.00,OPL 35 % # 5,AA/platos
15/08/19,6,18,93.50 %,"653,285",2.97,"1,940.25",150.00,OPL 35 % # 5,AA/platos
16/08/19,6,19,93.00 %,"649,791",3.10,"2,014.35",150.00,OPL 35 % # 5,AA/platos
17/08/19,6,20,92.50 %,"646,298",3.30,"2,132.78",150.00,OPL 35 % # 5,AA/platos
18/08/19,6,21,92.00 %,"642,804",3.50,"2,249.81",100.00,OPL 35 % # 5,AA/platos
19/08/19,6,22,91.50 %,"639,311",3.72,"2,378.24",150.00,OPL 35 % # 5,AA/platos
20/08/19,6,23,90.84 %,"634,699",3.95,"2,507.06",150.00,OPL 35 % # 5,AA/platos
21/08/19,6,24,90.18 %,"630,088",4.25,"2,677.87",150.00,OPL 35 % # 5,AA/platos
22/08/19,6,25,89.52 %,"625,476",4.50,"2,814.64",175.00,OPL 35 % # 5,AA/platos
23/08/19,6,26,88.86 %,"620,865",4.65,"2,887.02",175.00,OPL 35 % # 5,AA/platos
24/08/19,6,27,88.20 %,"616,253",4.80,"2,958.02",175.00,OPL 35 % # 5,AA/platos
25/08/19,6,28,87.54 %,"611,642",4.95,"3,027.63",0.00,OPL 35 % # 5,AA/platos
26/08/19,6,29,86.88 %,"607,031",5.15,"3,126.21",175.00,OPL 35 % # 5,AA/platos
27/08/19,6,30,86.18 %,"602,140",5.47,"3,293.70",100.00,OPL 35 % # 5,AA/platos
28/08/19,6,31,85.48 %,"597,249",5.80,"3,464.04",150.00,OPL 35 % # 5,AA/platos
29/08/19,6,32,84.88 %,"593,057",6.13,"3,635.44",175.00,OPL 35 % # 5,AA/platos
30/08/19,6,33,84.08 %,"587,467",6.31,"3,706.92",175.00,OPL 35 % # 5,AA/platos
31/08/19,6,34,83.38 %,"582,576",6.49,"3,780.92",175.00,OPL 35 % # 5,AA/platos
01/09/19,6,35,82.68 %,"577,685",6.67,"3,853.16",0.00,OPL 35 % # 5,AA/platos
02/09/19,6,36,82.18 %,"574,192",6.85,"3,933.21",175.00,OPL 35 % # 5,AA/platos
03/09/19,6,37,81.88 %,"572,096",7.10,"4,061.88",175.00,OPL 35 % # 5,AA/platos
04/09/19,6,38,81.58 %,"569,999",7.35,"4,189.50",200.00,OPL 35 % # 5,AA/platos
05/09/19,6,39,81.28 %,"567,903",7.60,"4,316.07",200.00,OPL 35 % # 5,AA/platos
06/09/19,6,40,80.98 %,"565,807",8.00,"4,526.46",200.00,OPL 35 % # 5,AA/platos
07/09/19,6,41,80.68 %,"563,711",8.40,"4,735.17",175.00,OPL 35 % # 5,AA/platos
08/09/19,6,42,80.08 %,"559,519",8.80,"4,923.77",0.00,OPL 35 % # 5,AA/platos
09/09/19,6,43,79.86 %,"557,982",9.20,"5,133.43",200.00,OPL 35 % # 5,AA/platos
10/09/19,6,44,79.64 %,"556,445",9.40,"5,230.58",225.00,OPL 35 % # 5,AA/platos
11/09/19,6,45,79.42 %,"554,908",9.60,"5,327.11",0.00,OPL 35 % # 5,AA/platos
12/09/19,6,46,79.20 %,"553,370",9.80,"5,423.03",150.00,OPL 35 % # 5,AA/platos
13/09/19,6,47,78.98 %,"551,833",10.15,"5,601.11",175.00,OPL 35 % # 5,AA/platos
14/09/19,6,48,78.76 %,"550,296",10.50,"5,778.11",175.00,OPL 35 % # 5,AA/platos
15/09/19,6,49,78.54 %,"548,759",10.85,"5,954.03",0.00,OPL 35 % # 5,AA/platos
16/09/19,6,50,78.32 %,"547,222",11.20,"6,128.88",175.00,OPL 35 % # 5,AA/platos
17/09/19,6,51,78.10 %,"545,685",11.40,"6,220.81",175.00,OPL 35 % # 5,AA/platos
18/09/19,6,52,77.88 %,"544,148",11.60,"6,312.11",200.00,OPL 35 % # 5,AA/platos
19/09/19,6,53,77.66 %,"542,610",11.80,"6,402.80",200.00,OPL 35 % # 5,AA/platos
20/09/19,6,54,77.44 %,"541,073",12.15,"6,574.04",175.00,OPL 35 % # 5,AA/platos
21/09/19,6,55,77.22 %,"539,536",12.50,"6,744.20",200.00,OPL 35 % # 5,AA/platos
22/09/19,6,56,77.00 %,"537,999",12.85,"6,913.29",0.00,OPL 35 % # 5,AA/platos
23/09/19,6,57,76.00 %,"531,012",13.20,"7,009.36",200.00,OPL 35 % # 5,AA/platos
24/09/19,6,58,75.00 %,"524,025",13.50,"7,074.34",225.00,OPL 35 % # 5,AA/platos
25/09/19,6,59,74.00 %,"517,038",13.85,"7,160.98",250.00,OPL 35 % # 5,AA/platos
26/09/19,6,60,73.00 %,"510,051",14.20,"7,242.72",250.00,OPL 35 % # 5,AA/platos
27/09/19,6,61,72.00 %,"503,064",14.45,"7,269.27",225.00,OPL 35 % # 5,AA/platos
28/09/19,6,62,71.50 %,"499,571",14.70,"7,343.69",225.00,OPL 35 % # 5,AA/platos
29/09/19,6,63,71.00 %,"496,077",14.95,"7,416.35",0.00,OPL 35 % # 5,AA/platos
30/09/19,6,64,70.50 %,"492,584",15.20,"7,487.27",225.00,OPL 35 % # 5,AA/platos
01/10/19,6,65,70.00 %,"489,090",15.45,"7,556.44",250.00,OPL 35 % # 5,AA/platos
02/10/19,6,66,69.50 %,"485,597",15.72,"7,633.58",250.00,OPL 35 % # 5,AA/platos
03/10/19,6,67,69.00 %,"482,103",16.00,"7,713.65",250.00,OPL 35 % # 5,AA/platos
04/10/19,6,68,68.50 %,"478,610",16.30,"7,801.33",250.00,OPL 35 % # 5,AA/platos
05/10/19,6,69,68.00 %,"475,116",16.60,"7,886.93",250.00,OPL 35 % # 5,AA/platos
06/10/19,6,70,67.50 %,"471,623",16.90,"7,970.42",0.00,OPL 35 % # 5,AA/platos
07/10/19,6,71,67.35 %,"470,574",17.20,"8,093.88",225.00,OPL 35 % # 5,AA/platos
08/10/19,6,72,67.20 %,"469,526",17.53,"8,230.80",250.00,OPL 35 % # 5,AA/platos
09/10/19,6,73,67.05 %,"468,478",17.86,"8,367.02",250.00,OPL 35 % # 5,AA/platos
10/10/19,6,74,66.90 %,"467,430",18.20,"8,507.23",200.00,OPL 35 % # 5,AA/platos
11/10/19,6,75,66.75 %,"466,382",18.45,"8,604.75",200.00,OPL 35 % # 5,AA/platos
12/10/19,6,76,66.65 %,"465,684",18.60,"8,661.71",200.00,OPL 35 % # 5,AA/platos
13/10/19,6,77,66.55 %,"464,985",18.85,"8,764.96",0.00,OPL 35 % # 5,AA/platos
14/10/19,6,78,66.45 %,"464,286",19.20,"8,914.29",250.00,OPL 35 % # 5,AA/platos
15/10/19,6,79,66.35 %,"463,587",19.63,"9,100.22",250.00,OPL 35 % # 5,AA/platos
16/10/19,6,80,66.25 %,"462,889",20.06,"9,285.55",275.00,OPL 35 % # 5,AA/platos
17/10/19,6,81,66.20 %,"462,539",20.50,"9,482.06",275.00,OPL 35 % # 5,AA/platos
18/10/19,6,82,66.15 %,"462,190",20.87,"9,645.91",275.00,OPL 35 % # 5,AA/platos
19/10/19,6,83,66.10 %,"461,841",21.25,"9,814.11",275.00,OPL 35 % # 5,AA/platos
20/10/19,6,84,66.05 %,"461,491",21.63,"9,982.06",0.00,OPL 35 % # 5,AA/platos
21/10/19,6,85,66.00 %,"461,142",22.00,"10,145.12",275.00,OPL 35 % # 5,AA/platos
22/10/19,6,86,65.95 %,"460,793",22.16,"10,211.17",275.00,OPL 35 % # 5,AA/platos
23/10/19,6,87,65.90 %,"460,443",22.32,"10,277.09",275.00,OPL 35 % # 5,AA/platos
24/10/19,6,88,65.85 %,"460,094",22.48,"10,342.91",275.00,OPL 35 % # 5,AA/platos
25/10/19,6,89,65.80 %,"459,745",22.65,"10,413.22",0.00,OPL 35 % # 5,AA/platos
26/10/19,6,90,65.75 %,"459,395",22.80,"10,474.21",250.00,OPL 35 % # 5,AA/platos
27/10/19,6,91,65.60 %,"458,347",23.00,"10,541.99",150.00,OPL 35 % # 5,AA/platos
28/10/19,6,92,65.50 %,"457,649",23.18,"10,608.29",0.00,OPL 35 % # 5,AA/platos
25/07/19,7,-1,100.00 %,"794,000",0.18,142.92,0.00,NA,NA
26/07/19,7,1,98.00 %,"778,120",0.22,171.19,25.00,NW 38 % # 3,Boleo
27/07/19,7,2,97.75 %,"776,135",0.25,194.03,50.00,NW 38 % # 3,Boleo
28/07/19,7,3,97.50 %,"774,150",0.30,232.25,50.00,NW 38 % # 3,Boleo
29/07/19,7,4,97.25 %,"772,165",0.35,270.26,50.00,NW 38 % # 3,Boleo
30/07/19,7,5,97.00 %,"770,180",0.40,308.07,60.00,NW 38 % # 3,Boleo
31/07/19,7,6,96.75 %,"768,195",0.45,345.69,80.00,NW 38 % # 3,Boleo
01/08/19,7,7,96.50 %,"766,210",0.50,383.11,100.00,NW 38 % # 3,Boleo
02/08/19,7,8,96.25 %,"764,225",0.55,420.32,100.00,NW 38 % # 3,Boleo/Platos
03/08/19,7,9,96.00 %,"762,240",0.73,556.44,110.00,NW 35 % # 4,Boleo/Platos
04/08/19,7,10,95.75 %,"760,255",0.91,691.83,115.00,NW 35 % # 4,Boleo/Platos
05/08/19,7,11,95.50 %,"758,270",1.10,834.10,120.00,NW 35 % # 4,Boleo/Platos
06/08/19,7,12,95.25 %,"756,285",1.24,937.79,125.00,NW 35 % # 4,Boleo/Platos
07/08/19,7,13,95.00 %,"754,300",1.38,"1,040.93",125.00,NW 35 % # 4,Boleo/Platos
08/08/19,7,14,94.50 %,"750,330",1.53,"1,148.00",125.00,NW 35 % # 4,Boleo/Platos
09/08/19,7,15,94.00 %,"746,360",1.72,"1,283.74",150.00,OPL 35 % # 5,AA/platos
10/08/19,7,16,93.50 %,"742,390",1.91,"1,417.96",150.00,OPL 35 % # 5,AA/platos
11/08/19,7,17,93.00 %,"738,420",2.00,"1,476.84",150.00,OPL 35 % # 5,AA/platos
12/08/19,7,18,92.50 %,"734,450",2.30,"1,689.24",150.00,OPL 35 % # 5,AA/platos
13/08/19,7,19,92.00 %,"730,480",2.48,"1,811.59",125.00,OPL 35 % # 5,AA/platos
14/08/19,7,20,91.50 %,"726,510",2.67,"1,939.78",150.00,OPL 35 % # 5,AA/platos
15/08/19,7,21,91.00 %,"722,540",2.86,"2,066.46",150.00,OPL 35 % # 5,AA/platos
16/08/19,7,22,90.75 %,"720,555",2.90,"2,089.61",175.00,OPL 35 % # 5,AA/platos
17/08/19,7,23,90.50 %,"718,570",2.97,"2,134.15",175.00,OPL 35 % # 5,AA/platos
18/08/19,7,24,90.25 %,"716,585",3.07,"2,199.92",100.00,OPL 35 % # 5,AA/platos
19/08/19,7,25,90.00 %,"714,600",3.14,"2,243.84",175.00,OPL 35 % # 5,AA/platos
20/08/19,7,26,89.75 %,"712,615",3.49,"2,487.03",175.00,OPL 35 % # 5,AA/platos
21/08/19,7,27,89.50 %,"710,630",3.84,"2,728.82",175.00,OPL 35 % # 5,AA/platos
22/08/19,7,28,89.30 %,"709,042",4.20,"2,977.98",175.00,OPL 35 % # 5,AA/platos
23/08/19,7,29,89.10 %,"707,454",4.30,"3,042.05",200.00,OPL 35 % # 5,AA/platos
24/08/19,7,30,88.90 %,"705,866",4.40,"3,105.81",200.00,OPL 35 % # 5,AA/platos
25/08/19,7,31,88.70 %,"704,278",4.50,"3,169.25",200.00,OPL 35 % # 5,AA/platos
26/08/19,7,32,88.50 %,"702,690",4.60,"3,232.37",200.00,OPL 35 % # 5,AA/platos
27/08/19,7,33,88.30 %,"701,102",4.76,"3,337.25",100.00,OPL 35 % # 5,AA/platos
28/08/19,7,34,88.10 %,"699,514",4.90,"3,427.62",175.00,OPL 35 % # 5,AA/platos
29/08/19,7,35,88.00 %,"698,720",5.24,"3,661.29",175.00,OPL 35 % # 5,AA/platos
30/08/19,7,36,87.00 %,"690,780",5.43,"3,750.94",0.00,OPL 35 % # 5,AA/platos
31/08/19,7,37,86.00 %,"682,840",5.60,"3,823.90",175.00,OPL 35 % # 5,AA/platos
01/09/19,7,38,85.00 %,"674,900",5.81,"3,921.17",0.00,OPL 35 % # 5,AA/platos
02/09/19,7,39,84.00 %,"666,960",6.00,"4,001.76",175.00,OPL 35 % # 5,AA/platos
03/09/19,7,40,83.00 %,"659,020",6.21,"4,092.51",175.00,OPL 35 % # 5,AA/platos
04/09/19,7,41,82.00 %,"651,080",6.40,"4,166.91",100.00,OPL 35 % # 5,AA/platos
05/09/19,7,42,81.00 %,"643,140",6.61,"4,251.16",75.00,OPL 35 % # 5,AA/platos
06/09/19,7,43,80.00 %,"635,200",6.84,"4,344.77",150.00,OPL 35 % # 5,AA/platos
07/09/19,7,44,78.00 %,"619,320",7.07,"4,378.59",200.00,OPL 35 % # 5,AA/platos
08/09/19,7,45,76.00 %,"603,440",7.31,"4,411.15",200.00,OPL 35 % # 5,AA/platos
09/09/19,7,46,74.00 %,"587,560",7.54,"4,430.20",200.00,OPL 35 % # 5,AA/platos
10/09/19,7,47,72.00 %,"571,680",7.76,"4,436.24",200.00,OPL 35 % # 5,AA/platos
11/09/19,7,48,70.00 %,"555,800",7.98,"4,435.28",175.00,OPL 35 % # 5,AA/platos
12/09/19,7,49,68.00 %,"539,920",8.20,"4,427.34",150.00,OPL 35 % # 5,AA/platos
13/09/19,7,50,66.00 %,"524,040",8.54,"4,475.30",125.00,OPL 35 % # 5,AA/platos
14/09/19,7,51,65.00 %,"516,100",8.87,"4,577.81",125.00,OPL 35 % # 5,AA/platos
15/09/19,7,52,64.00 %,"508,160",9.20,"4,675.07",0.00,OPL 35 % # 5,AA/platos
16/09/19,7,53,63.00 %,"500,220",9.54,"4,772.10",125.00,OPL 35 % # 5,AA/platos
17/09/19,7,54,62.00 %,"492,280",9.83,"4,839.11",175.00,OPL 35 % # 5,AA/platos
18/09/19,7,55,61.50 %,"488,310",10.11,"4,936.81",200.00,OPL 35 % # 5,AA/platos
19/09/19,7,56,61.00 %,"484,340",10.40,"5,037.14",200.00,OPL 35 % # 5,AA/platos
20/09/19,7,57,60.65 %,"481,561",10.80,"5,200.86",200.00,OPL 35 % # 5,AA/platos
21/09/19,7,58,60.30 %,"478,782",11.00,"5,266.60",50.00,OPL 35 % # 5,AA/platos
22/09/19,7,59,59.95 %,"476,003",11.60,"5,521.63",0.00,OPL 35 % # 5,AA/platos
23/09/19,7,60,59.70 %,"474,018",12.00,"5,688.22",175.00,OPL 35 % # 5,AA/platos
24/09/19,7,61,59.45 %,"472,033",12.33,"5,820.17",225.00,OPL 35 % # 5,AA/platos
25/09/19,7,62,59.20 %,"470,048",12.66,"5,950.81",225.00,OPL 35 % # 5,AA/platos
26/09/19,7,63,59.00 %,"468,460",13.00,"6,089.98",225.00,OPL 35 % # 5,AA/platos
27/09/19,7,64,58.85 %,"467,269",13.30,"6,214.68",200.00,OPL 35 % # 5,AA/platos
28/09/19,7,65,58.70 %,"466,078",13.65,"6,361.96",200.00,OPL 35 % # 5,AA/platos
29/09/19,7,66,58.55 %,"464,887",13.98,"6,499.12",0.00,OPL 35 % # 5,AA/platos
30/09/19,7,67,58.40 %,"463,696",14.30,"6,630.85",200.00,OPL 35 % # 5,AA/platos
01/10/19,7,68,58.30 %,"462,902",14.70,"6,804.66",225.00,OPL 35 % # 5,AA/platos
02/10/19,7,69,58.20 %,"462,108",15.10,"6,977.83",150.00,OPL 35 % # 5,AA/platos
03/10/19,7,70,58.10 %,"461,314",15.50,"7,150.37",200.00,OPL 35 % # 5,AA/platos
